#OTU ID	Control_1	Control_2	Control_3	NEFO_1	NEFO_2	NEFO_3	NEFO_RS_1	NEFO_RS_2	NEFO_RS_3	NEO_1	NEO_2	NEO_3
OTU1	52.0	72.0	29.0	20.0	9.0	10.0	1.0	4.0	8.0	41.0	1.0	1.0
OTU10	10.0	1.0	8.0	2.0	6.0	1.0	2.0	9.0	3.0	0.0	1.0	0.0
OTU100	9.0	3.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	10.0	0.0	1.0
OTU1000	0.0	10.0	0.0	2.0	43.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
OTU1001	6.0	8.0	4.0	5.0	2.0	1.0	3.0	25.0	23.0	18.0	5.0	0.0
OTU1002	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
OTU1003	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU1004	11.0	10.0	2.0	19.0	2.0	59.0	25.0	4.0	0.0	24.0	0.0	111.0
OTU1005	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
OTU1006	3.0	5.0	11.0	4.0	0.0	13.0	5.0	5.0	1.0	3.0	1.0	17.0
OTU1007	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU1008	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
OTU1009	30.0	3.0	12.0	5.0	8.0	3.0	3.0	0.0	2.0	5.0	3.0	0.0
OTU101	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU1010	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU1011	1.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
OTU1012	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU1013	4.0	4.0	3.0	3.0	1.0	0.0	0.0	3.0	2.0	3.0	3.0	3.0
OTU1014	29.0	5.0	7.0	11.0	11.0	3.0	5.0	5.0	7.0	2.0	0.0	0.0
OTU1015	9.0	4.0	11.0	5.0	7.0	0.0	4.0	16.0	2.0	4.0	1.0	6.0
OTU1016	0.0	1.0	0.0	1.0	1.0	19.0	0.0	0.0	1.0	2.0	0.0	0.0
OTU1017	0.0	0.0	3.0	1.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	72.0
OTU1018	67.0	40.0	5.0	4.0	11.0	0.0	0.0	0.0	10.0	0.0	9.0	0.0
OTU1019	2.0	1.0	2.0	1.0	10.0	0.0	0.0	1.0	9.0	0.0	0.0	6.0
OTU102	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
OTU1020	6.0	2.0	4.0	0.0	2.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0
OTU1021	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU1022	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	9.0
OTU1023	4.0	3.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	1.0
OTU1024	0.0	0.0	1.0	0.0	0.0	2.0	110.0	0.0	0.0	1.0	0.0	0.0
OTU1025	6.0	4.0	0.0	8.0	1.0	3.0	8.0	14.0	0.0	7.0	0.0	5.0
OTU1026	0.0	0.0	0.0	0.0	0.0	0.0	216.0	5.0	1.0	0.0	0.0	0.0
OTU1027	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0
OTU1028	14.0	148.0	4.0	13.0	6.0	105.0	96.0	21.0	12.0	47.0	6.0	140.0
OTU1029	10.0	0.0	0.0	0.0	2.0	0.0	3.0	12.0	1.0	5.0	1.0	1.0
OTU103	0.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	0.0	1.0	0.0	0.0
OTU1030	22.0	97.0	15.0	6.0	4.0	112.0	55.0	33.0	13.0	24.0	5.0	18.0
OTU1031	0.0	4.0	4.0	1.0	0.0	5.0	3.0	0.0	2.0	0.0	0.0	20.0
OTU1032	0.0	0.0	0.0	1.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0
OTU1033	17.0	12.0	2.0	1.0	26.0	0.0	0.0	0.0	72.0	0.0	2.0	0.0
OTU1034	4.0	1.0	3.0	6.0	1.0	6.0	1.0	0.0	1.0	10.0	8.0	0.0
OTU1035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
OTU1036	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
OTU1037	0.0	7.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	1.0	0.0
OTU1038	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
OTU1039	1.0	0.0	11.0	2.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0
OTU104	2.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	3.0	2.0	2.0	1.0
OTU1040	12.0	57.0	0.0	12.0	1.0	38.0	45.0	67.0	53.0	47.0	6.0	35.0
OTU1041	10.0	2.0	2.0	4.0	5.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0
OTU1042	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OTU1043	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
OTU1044	1.0	1.0	7.0	5.0	1.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0
OTU1045	4.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
OTU1046	0.0	1.0	1.0	6.0	0.0	10.0	4.0	1.0	0.0	3.0	0.0	16.0
OTU1047	2.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0
OTU1048	0.0	1.0	1.0	21.0	97.0	42.0	0.0	0.0	0.0	2.0	0.0	0.0
OTU1049	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
OTU105	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
OTU1050	11.0	3.0	30.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU1051	0.0	0.0	2.0	1.0	51.0	2.0	0.0	1.0	0.0	0.0	0.0	16.0
OTU1052	0.0	0.0	3.0	0.0	4.0	0.0	4.0	0.0	0.0	3.0	0.0	2.0
OTU1053	15.0	0.0	0.0	15.0	13.0	0.0	2.0	0.0	0.0	0.0	0.0	33.0
